config_id,embedding_dim,heads,layers,drop_rate,num_epochs,batch_size,lr,train_avg_loss,train_perplexity,train_token_accuracy,train_num_samples,train_avg_bleu,train_exact_match_rate,test_avg_loss,test_perplexity,test_token_accuracy,test_num_samples,test_avg_bleu,test_exact_match_rate,number_parameter,cpp_model_size
emb12_h4_l2_d001_ep300_bs4_lr001,12,4,2,0.01,300,4,0.01,0.3357431888580322,1.3989797050985964,0.8878896882494005,105,1.0,1.0,8.85132122039795,6983.609765086225,0.34408602150537637,27,0.05073405660345129,0.0,14628,223558
emb12_h4_l2_d001_ep300_bs4_lr0005,12,4,2,0.01,300,4,0.005,0.33206848055124283,1.3938482967440156,0.8788968824940048,105,0.998639455782313,0.9904761904761905,9.611233711242676,14931.579986788121,0.33763440860215055,27,0.02120304977048136,0.0,14628,223523
emb12_h4_l2_d001_ep300_bs8_lr001,12,4,2,0.01,300,8,0.01,0.34396105259656906,1.41052369820233,0.8896882494004796,105,0.998639455782313,0.9904761904761905,9.483111381530762,13135.994086680554,0.33978494623655914,27,0.059229714809794366,0.0,14628,223217
emb12_h4_l2_d001_ep300_bs8_lr0005,12,4,2,0.01,300,8,0.005,0.3257695138454437,1.385096086608434,0.8902877697841727,105,1.0,1.0,9.424264907836914,12385.291867277176,0.36774193548387096,27,0.047697441299264384,0.0,14628,223352
emb12_h4_l2_d001_ep500_bs4_lr001,12,4,2,0.01,500,4,0.01,0.3385009169578552,1.402843035301152,0.8866906474820144,105,0.998095238095238,0.9904761904761905,9.613056182861328,14958.81717950222,0.36989247311827955,27,0.08542017597716679,0.0,14628,223403
emb12_h4_l2_d001_ep500_bs4_lr0005,12,4,2,0.01,500,4,0.005,0.3215901851654053,1.3793193945647817,0.8914868105515588,105,1.0,1.0,9.75168514251709,17183.160499769812,0.3763440860215054,27,0.05637481477098302,0.0,14628,223426
emb12_h4_l2_d001_ep500_bs8_lr001,12,4,2,0.01,500,8,0.01,0.3203132748603821,1.377559251427558,0.8920863309352518,105,1.0,1.0,9.46058464050293,12843.391019947456,0.3763440860215054,27,0.07117953346360263,0.0,14628,223571
emb12_h4_l2_d001_ep500_bs8_lr0005,12,4,2,0.01,500,8,0.005,0.3109768107533455,1.3647575731192287,0.8872901678657075,105,0.9922279973389116,0.9904761904761905,9.761664390563965,17355.493969692212,0.3333333333333333,27,0.019038021151641927,0.0,14628,223417
emb12_h4_l2_d005_ep300_bs4_lr001,12,4,2,0.05,300,4,0.01,0.34971366822719574,1.4186612826325415,0.8872901678657075,105,0.9726825126109806,0.9619047619047619,8.961837768554688,7799.6783024747465,0.3827956989247312,27,0.06699996708876141,0.0,14628,223255
emb12_h4_l2_d005_ep300_bs4_lr0005,12,4,2,0.05,300,4,0.005,0.34182877838611603,1.4075192791583653,0.8878896882494005,105,0.9842315031349358,0.9809523809523809,9.488966941833496,13213.138333161069,0.35053763440860214,27,0.06245826403319401,0.0,14628,223503
emb12_h4_l2_d005_ep300_bs8_lr001,12,4,2,0.05,300,8,0.01,0.3556048944592476,1.4270436040275885,0.8872901678657075,105,0.9756773568829853,0.9714285714285714,9.563324928283691,14233.091621148462,0.3849462365591398,27,0.05275292384487186,0.0,14628,223207
emb12_h4_l2_d005_ep300_bs8_lr0005,12,4,2,0.05,300,8,0.005,0.346977062523365,1.4147842734170322,0.8884892086330936,105,1.0,1.0,9.320294380187988,11162.26732014871,0.33978494623655914,27,0.06690916018640657,0.0,14628,223523
emb12_h4_l2_d005_ep500_bs4_lr001,12,4,2,0.05,500,4,0.01,0.34930437058210373,1.4180807467244714,0.8836930455635491,105,0.9941847656336733,0.9904761904761905,9.27469539642334,10664.709548203455,0.37849462365591396,27,0.05228161910850518,0.0,14628,223423
emb12_h4_l2_d005_ep500_bs4_lr0005,12,4,2,0.05,500,4,0.005,0.3322136029601097,1.3940505900447244,0.8914868105515588,105,0.9952380952380953,0.9904761904761905,9.645873069763184,15457.862765974822,0.35698924731182796,27,0.06287742082924097,0.0,14628,223312
emb12_h4_l2_d005_ep500_bs8_lr001,12,4,2,0.05,500,8,0.01,0.34209348261356354,1.4078919047773848,0.8866906474820144,105,1.0,1.0,9.068991661071777,8681.865128020261,0.38924731182795697,27,0.037253054337871724,0.0,14628,223211
emb12_h4_l2_d005_ep500_bs8_lr0005,12,4,2,0.05,500,8,0.005,0.3332328349351883,1.3954721753204935,0.8908872901678657,105,0.9908670714220185,0.9904761904761905,9.698867797851562,16299.142822763573,0.35913978494623655,27,0.04091992975630165,0.0,14628,223450
emb24_h2_l1_d001_ep300_bs4_lr001,24,2,1,0.01,300,4,0.01,0.3142782002687454,1.3692706150177558,0.8902877697841727,105,0.9928571428571429,0.9904761904761905,7.789216995239258,2414.426334549284,0.3763440860215054,27,0.07707397729659933,0.0,29016,417621
emb24_h2_l1_d001_ep300_bs4_lr0005,24,2,1,0.01,300,4,0.005,0.3110126107931137,1.3648064323691966,0.8902877697841727,105,1.0,1.0,7.557227611541748,1914.5303271156113,0.3720430107526882,27,0.09770723104056439,0.037037037037037035,29016,417835
emb24_h2_l1_d001_ep300_bs8_lr001,24,2,1,0.01,300,8,0.01,0.3207128793001175,1.3781098402219638,0.8884892086330936,105,1.0,1.0,7.651051998138428,2102.8566274697864,0.36774193548387096,27,0.06400124181856238,0.0,29016,417784
emb24_h2_l1_d001_ep300_bs8_lr0005,24,2,1,0.01,300,8,0.005,0.3223857656121254,1.3804171907395608,0.8902877697841727,105,1.0,1.0,7.206831932067871,1348.6129948585092,0.3849462365591398,27,0.08392415993037614,0.0,29016,417613
emb24_h2_l1_d001_ep500_bs4_lr001,24,2,1,0.01,500,4,0.01,0.3173282966017723,1.373453398002332,0.8741007194244604,105,1.0,1.0,8.194854736328125,3622.264770215577,0.3548387096774194,27,0.14069667022222374,0.037037037037037035,29016,417646
emb24_h2_l1_d001_ep500_bs4_lr0005,24,2,1,0.01,500,4,0.005,0.3070213124155998,1.3593699392203555,0.8920863309352518,105,1.0,1.0,7.479858875274658,1771.9906865867429,0.35268817204301073,27,0.05578484809805099,0.0,29016,417685
emb24_h2_l1_d001_ep500_bs8_lr001,24,2,1,0.01,500,8,0.01,0.3109244704246521,1.3646861431286157,0.8926858513189448,105,1.0,1.0,7.656453609466553,2114.2461749112845,0.3741935483870968,27,0.04126984126984127,0.0,29016,417532
